inventory_id,store_id,film_id,inventory_last_upd
1,1,1,2006-02-15 10:09:17
2,1,1,2006-02-15 10:09:17
3,1,1,2006-02-15 10:09:17
4,1,1,2006-02-15 10:09:17
5,2,1,2006-02-15 10:09:17
6,2,1,2006-02-15 10:09:17
7,2,1,2006-02-15 10:09:17
8,2,1,2006-02-15 10:09:17
9,2,2,2006-02-15 10:09:17
10,2,2,2006-02-15 10:09:17
11,2,2,2006-02-15 10:09:17
12,2,3,2006-02-15 10:09:17
13,2,3,2006-02-15 10:09:17
14,2,3,2006-02-15 10:09:17
15,2,3,2006-02-15 10:09:17
16,1,4,2006-02-15 10:09:17
17,1,4,2006-02-15 10:09:17
18,1,4,2006-02-15 10:09:17
19,1,4,2006-02-15 10:09:17
20,2,4,2006-02-15 10:09:17
21,2,4,2006-02-15 10:09:17
22,2,4,2006-02-15 10:09:17
23,2,5,2006-02-15 10:09:17
24,2,5,2006-02-15 10:09:17
25,2,5,2006-02-15 10:09:17
26,1,6,2006-02-15 10:09:17
27,1,6,2006-02-15 10:09:17
28,1,6,2006-02-15 10:09:17
29,2,6,2006-02-15 10:09:17
30,2,6,2006-02-15 10:09:17
31,2,6,2006-02-15 10:09:17
32,1,7,2006-02-15 10:09:17
33,1,7,2006-02-15 10:09:17
34,2,7,2006-02-15 10:09:17
35,2,7,2006-02-15 10:09:17
36,2,7,2006-02-15 10:09:17
37,2,8,2006-02-15 10:09:17
38,2,8,2006-02-15 10:09:17
39,2,8,2006-02-15 10:09:17
40,2,8,2006-02-15 10:09:17
41,1,9,2006-02-15 10:09:17
42,1,9,2006-02-15 10:09:17
43,1,9,2006-02-15 10:09:17
44,2,9,2006-02-15 10:09:17
45,2,9,2006-02-15 10:09:17
46,1,10,2006-02-15 10:09:17
47,1,10,2006-02-15 10:09:17
48,1,10,2006-02-15 10:09:17
49,1,10,2006-02-15 10:09:17
50,2,10,2006-02-15 10:09:17
51,2,10,2006-02-15 10:09:17
52,2,10,2006-02-15 10:09:17
53,1,11,2006-02-15 10:09:17
54,1,11,2006-02-15 10:09:17
55,1,11,2006-02-15 10:09:17
56,1,11,2006-02-15 10:09:17
57,2,11,2006-02-15 10:09:17
58,2,11,2006-02-15 10:09:17
59,2,11,2006-02-15 10:09:17
60,1,12,2006-02-15 10:09:17
61,1,12,2006-02-15 10:09:17
62,1,12,2006-02-15 10:09:17
63,2,12,2006-02-15 10:09:17
64,2,12,2006-02-15 10:09:17
65,2,12,2006-02-15 10:09:17
66,2,12,2006-02-15 10:09:17
67,2,13,2006-02-15 10:09:17
68,2,13,2006-02-15 10:09:17
69,2,13,2006-02-15 10:09:17
70,2,13,2006-02-15 10:09:17
71,1,15,2006-02-15 10:09:17
72,1,15,2006-02-15 10:09:17
73,2,15,2006-02-15 10:09:17
74,2,15,2006-02-15 10:09:17
75,2,15,2006-02-15 10:09:17
76,2,15,2006-02-15 10:09:17
77,1,16,2006-02-15 10:09:17
78,1,16,2006-02-15 10:09:17
79,2,16,2006-02-15 10:09:17
80,2,16,2006-02-15 10:09:17
81,1,17,2006-02-15 10:09:17
82,1,17,2006-02-15 10:09:17
83,1,17,2006-02-15 10:09:17
84,2,17,2006-02-15 10:09:17
85,2,17,2006-02-15 10:09:17
86,2,17,2006-02-15 10:09:17
87,1,18,2006-02-15 10:09:17
88,1,18,2006-02-15 10:09:17
89,1,18,2006-02-15 10:09:17
90,2,18,2006-02-15 10:09:17
91,2,18,2006-02-15 10:09:17
92,2,18,2006-02-15 10:09:17
93,1,19,2006-02-15 10:09:17
94,1,19,2006-02-15 10:09:17
95,1,19,2006-02-15 10:09:17
96,1,19,2006-02-15 10:09:17
97,2,19,2006-02-15 10:09:17
98,2,19,2006-02-15 10:09:17
99,1,20,2006-02-15 10:09:17
100,1,20,2006-02-15 10:09:17
101,1,20,2006-02-15 10:09:17
102,1,21,2006-02-15 10:09:17
103,1,21,2006-02-15 10:09:17
104,2,21,2006-02-15 10:09:17
105,2,21,2006-02-15 10:09:17
106,2,21,2006-02-15 10:09:17
107,2,21,2006-02-15 10:09:17
108,1,22,2006-02-15 10:09:17
109,1,22,2006-02-15 10:09:17
110,1,22,2006-02-15 10:09:17
111,1,22,2006-02-15 10:09:17
112,2,22,2006-02-15 10:09:17
113,2,22,2006-02-15 10:09:17
114,2,22,2006-02-15 10:09:17
115,1,23,2006-02-15 10:09:17
116,1,23,2006-02-15 10:09:17
117,1,23,2006-02-15 10:09:17
118,2,23,2006-02-15 10:09:17
119,2,23,2006-02-15 10:09:17
120,1,24,2006-02-15 10:09:17
121,1,24,2006-02-15 10:09:17
122,1,24,2006-02-15 10:09:17
123,1,24,2006-02-15 10:09:17
124,1,25,2006-02-15 10:09:17
125,1,25,2006-02-15 10:09:17
126,1,25,2006-02-15 10:09:17
127,1,25,2006-02-15 10:09:17
128,2,25,2006-02-15 10:09:17
129,2,25,2006-02-15 10:09:17
130,1,26,2006-02-15 10:09:17
131,1,26,2006-02-15 10:09:17
132,2,26,2006-02-15 10:09:17
133,2,26,2006-02-15 10:09:17
134,2,26,2006-02-15 10:09:17
135,1,27,2006-02-15 10:09:17
136,1,27,2006-02-15 10:09:17
137,1,27,2006-02-15 10:09:17
138,1,27,2006-02-15 10:09:17
139,1,28,2006-02-15 10:09:17
140,1,28,2006-02-15 10:09:17
141,1,28,2006-02-15 10:09:17
142,1,29,2006-02-15 10:09:17
143,1,29,2006-02-15 10:09:17
144,1,30,2006-02-15 10:09:17
145,1,30,2006-02-15 10:09:17
146,1,31,2006-02-15 10:09:17
147,1,31,2006-02-15 10:09:17
148,1,31,2006-02-15 10:09:17
149,1,31,2006-02-15 10:09:17
150,2,31,2006-02-15 10:09:17
